,rating
217,0
1512,0
289,0
378,0
167,1
421,0
225,0
616,0
12,0
522,0
1159,0
68,0
90,0
1174,1
1270,0
380,0
857,0
745,0
1311,0
372,0
258,0
1310,0
614,0
304,1
1380,1
1199,0
410,0
1490,0
961,1
42,0
208,0
532,0
887,0
1049,0
490,0
596,0
74,1
515,0
285,1
1260,0
858,1
71,0
561,0
179,0
109,1
1446,0
493,1
116,0
293,0
76,0
48,0
994,0
775,0
772,0
1387,0
1081,0
969,0
332,0
576,1
622,0
564,0
875,0
1255,1
1058,0
409,0
636,0
1534,0
1518,1
1303,0
288,0
1363,0
814,0
630,0
524,0
157,1
337,0
1443,0
1458,0
496,1
46,0
747,0
1318,0
135,0
753,0
462,1
1305,0
914,0
1361,0
995,0
439,0
177,0
570,0
1248,0
424,0
325,0
643,1
664,0
350,0
447,1
1047,0
17,0
900,0
1366,1
1120,1
1513,0
1105,1
1166,0
1438,0
345,0
475,1
313,0
754,0
138,0
451,0
170,1
699,0
1541,1
133,0
813,0
1308,1
1235,0
830,0
78,0
950,0
1019,1
1209,0
396,0
1396,0
1180,0
1309,1
21,0
766,0
392,0
250,0
1146,0
671,0
1521,1
1156,1
1061,0
869,0
604,1
1415,0
1384,1
627,0
902,0
856,0
700,1
1129,0
709,0
1514,1
321,1
1370,1
1504,1
624,0
125,0
1011,0
848,0
780,0
605,0
1524,1
1277,1
415,0
100,1
741,0
334,0
1263,0
834,0
833,0
1421,0
939,0
1346,1
1444,0
1240,1
1233,0
640,0
104,0
815,0
998,1
1075,0
1449,1
460,1
1046,0
585,0
1090,1
1103,0
497,0
702,1
375,1
975,0
1200,0
404,0
419,0
1258,0
173,0
690,0
827,1
428,0
1473,1
1330,0
718,0
282,1
1457,1
1507,1
635,0
738,0
499,0
1098,1
691,0
0,0
926,0
1217,0
1442,0
327,0
102,0
213,0
852,1
246,0
1520,0
1247,0
1391,1
1165,0
1295,1
365,0
248,0
736,0
26,0
836,0
1397,0
680,0
1188,1
3,1
134,0
837,0
355,1
292,0
698,1
1048,0
1440,1
369,0
1381,0
226,0
339,0
1326,1
603,0
454,0
63,0
990,0
237,0
650,0
112,0
1517,1
1285,1
577,0
126,0
1008,0
1226,0
851,0
694,0
137,0
1009,0
1452,1
7,0
502,0
854,1
947,0
631,0
929,1
1279,0
407,0
1502,0
357,0
153,1
343,0
305,0
1378,1
612,0
1213,0
280,0
1323,0
1492,0
1080,0
400,0
468,0
504,0
534,0
1016,1
903,1
1232,1
550,1
1372,0
1256,0
1130,0
945,0
163,0
336,0
59,0
1118,0
1439,0
1486,0
449,0
855,0
1210,0
1454,1
1374,1
437,0
786,0
873,0
1530,1
819,0
1006,0
586,1
941,0
348,0
1267,1
1028,1
1163,0
463,0
1160,0
1441,0
653,0
573,0
647,0
595,0
890,1
470,0
800,0
281,0
932,0
732,0
715,0
832,0
951,1
1144,1
1037,1
1238,0
455,0
584,1
147,0
160,0
1111,1
750,0
1117,0
859,0
952,0
1291,1
1219,0
1215,0
628,1
606,1
164,1
106,0
1040,0
617,0
1288,0
329,0
480,0
498,0
1434,1
1320,0
93,0
809,0
433,0
1107,0
43,0
860,1
1349,0
967,0
710,1
1505,0
1469,1
765,0
885,0
556,0
1480,0
69,0
514,0
509,0
340,0
221,1
146,0
1053,0
1138,0
803,0
508,0
1379,1
176,0
804,1
168,0
1335,0
1418,0
129,1
189,0
136,0
1404,1
1278,0
894,0
197,1
290,1
36,0
767,0
232,0
645,0
33,1
1112,0
1489,0
1068,0
865,0
341,0
1085,0
199,1
429,1
1519,0
876,0
730,0
919,0
297,1
73,0
807,1
547,0
949,0
1419,1
1398,1
1405,0
821,1
663,0
1241,0
1390,0
623,0
1162,0
212,0
1035,0
1403,1
1431,1
727,0
701,0
1022,0
1474,0
234,0
1007,0
978,0
67,1
24,1
216,0
812,0
735,0
1153,0
111,1
166,1
1472,1
207,1
274,0
41,0
591,0
1369,1
525,0
287,0
469,1
1350,0
121,0
1538,1
1252,0
928,0
673,0
1141,0
886,0
956,1
25,0
1134,0
149,0
925,0
1176,0
696,1
843,0
889,1
598,0
1020,0
139,0
749,0
1284,0
1004,0
323,0
180,0
1272,1
450,0
607,0
1043,0
1352,0
296,0
1293,1
1250,1
94,0
1406,0
637,0
1304,0
286,0
488,0
444,0
1208,0
1395,0
1198,1
275,0
806,0
1152,1
1206,1
32,1
1104,0
307,0
770,0
11,1
872,0
1067,1
86,0
778,0
1060,0
1528,1
1082,0
1065,0
782,0
562,0
209,0
1172,1
739,0
594,0
123,0
734,0
931,0
98,0
377,0
130,1
23,0
1407,0
1451,1
555,0
370,0
383,0
201,0
917,0
368,0
973,0
387,0
816,0
1316,0
256,0
1221,0
1119,0
169,0
1329,1
560,0
373,0
909,0
719,0
791,0
954,1
1251,0
1167,0
1204,0
868,0
972,0
1155,1
1501,1
1071,0
964,0
774,1
324,0
203,0
84,0
633,0
908,0
611,0
398,1
91,1
1106,0
430,1
779,0
1143,1
291,0
57,1
1345,0
257,0
888,1
1499,1
1466,0
1066,0
388,0
335,0
273,0
756,0
1077,1
1488,1
128,0
802,0
28,1
1207,0
882,0
1483,1
510,1
675,0
151,0
244,1
714,0
543,0
544,0
639,1
697,0
1289,0
1312,1
423,0
910,0
1171,1
659,0
797,0
1516,1
1201,0
99,1
850,0
448,0
1455,1
755,0
976,1
115,0
777,0
72,0
845,0
537,0
849,0
174,0
87,0
551,0
1510,1
705,0
314,0
1420,1
600,0
1496,0
1094,0
599,0
277,0
1033,0
1383,1
763,0
835,0
1216,0
559,0
684,0
